codes,description,co,co_nwa,co_sib,co_ptw,co_sing,persons,records
27260,"Jacksonville, FL",0.2745917500461929,0.2210388703768612,0.19178340719829753,0.14579357845941493,0.07136641108294282,3.513960174984423e-4,368
27340,"Jacksonville, NC",0.17052460990060297,0.11521847266017522,0.11521847266017522,0.11521847266017522,0.08602139558534277,4.158949827570383e-5,46
27500,"Janesville-Beloit, WI",0.20012307907611157,0.20012307907611157,0.024184515575463108,0.024184515575463108,0,3.4673967337469924e-5,44
27740,"Johnson City, TN",0.22668380155060824,0.12011349454659478,0.12011349454659478,0.07874787670922016,0,8.231728671337844e-5,119
27780,"Johnstown, PA",0.2763568054785117,0.21110876104107595,0.21110876104107595,0.18823780315237976,0,3.8725448030729717e-5,44
27980,"Kahului-Wailuku-Lahaina, HI",0.19436958989850547,0.0872805925342891,0.04004120234831438,0.02579941465661584,0.006519425266456948,3.06421306770209e-5,160
28020,"Kalamazoo-Portage, MI",0.31335978554444144,0.23108078280253538,0.23108078280253538,0.19018977408468765,0.10775708279097321,8.526543112735038e-5,98
28140,"Kansas City, MO-KS",0.26875583009535053,0.21501252131928336,0.1719956583558418,0.10096415167483744,0.050566194645504325,5.298653195579406e-4,799
28420,"Kennewick-Richland, WA",0.38729647362419256,0.3540737986973046,0.3143993159522108,0.2525856933943279,0.03322267492688794,5.5162543790965766e-5,70
28660,"Killeen-Temple-Fort Hood, TX",0.3546077738525657,0.26803857000371495,0.1941857073485458,0.17330011235607956,0.07181365138802406,1.1262906170555846e-4,119
28700,"Kingsport-Bristol, TN-VA",0.3292428889862387,0.21209629823323045,0.21209629823323045,0.16170299186548792,0.03451621297800514,5.145128312260495e-5,77
28940,"Knoxville, TN",0.3232507055018303,0.2711626024821241,0.14793416850273544,0.12197920329076008,0.04158501607993168,1.5246931643330032e-4,229
29180,"Lafayette, LA",0.3376126207708302,0.31284277264228927,0.2603745039543856,0.24789878380451794,0.07618586112318758,1.0684315232931823e-4,291
29200,"Lafayette-West Lafayette, IN",0.14536766232205245,0.051577377779531954,0.051577377779531954,0.051577377779531954,0,3.842555409930879e-5,47
29340,"Lake Charles, LA",0.1418516531577386,0.09827884020821141,0.012377514208227528,0.006772763387681657,0.06747531325803725,5.59265567991039e-5,154
29460,"Lakeland-Winter Haven, FL",0.45827999102697925,0.4164311206061188,0.2612804864399942,0.23118345464177348,0.16756132428310408,1.2527310216475123e-4,129
29540,"Lancaster, PA",0.273651652042303,0.22290593312211252,0.06942313786780877,0.05086207472177181,0.09526301390695423,9.216384639506598e-5,100
29620,"Lansing-East Lansing, MI",0.3148903225105231,0.27676431184302397,0.20688482919074874,0.20688482919074874,0.2026017267310155,6.37413705567289e-5,77
29700,"Laredo, TX",0.3936954526617822,0.2291621464134494,0.1327379235552823,0.06595234174725857,0.18959134009887355,4.768830707558025e-5,50
29740,"Las Cruces, NM",0.2351927385452173,0.10807204656814373,0.07640650376527282,0.020330469810946543,0.022784551413608092,4.170067499372392e-5,165
29820,"Las Vegas-Paradise, NV",0.29173670191857043,0.17750769505785846,0.1415030373578834,0.1206969168461719,0.05850015684871738,2.9408411384284207e-4,617
30340,"Lewiston-Auburn, ME",0.15584511213183155,0.10968380632536365,0.008547238473556673,0.008547238473556673,0.05230197857914941,3.596967679805009e-5,107
30460,"Lexington-Fayette, KY",0.27888222276791413,0.1384189788795285,0.08246376689339642,0.048866412440540345,0.06742100968066844,1.559004884673956e-4,199
30780,"Little Rock-North Little Rock, AR",0.2681418767864307,0.16588962884471053,0.1358364469754616,0.10307748343888844,0.05717753192781828,2.275762902127406e-4,693
30980,"Longview, TX",0.2181749229267721,0.1714090483904452,0.08509793343237,0.06854186790840107,0,8.213234858234682e-5,96
31080,"Los Angeles-Long Beach-Anaheim, CA (Note the CBSA code change between 2003 and 2013)",0.25812079045508746,0.1357830415218822,0.09701607272808363,0.06786527287107877,0.061971477769984,0.002248563261327145,2511
31140,"Louisville, KY-IN",0.3691254222756667,0.320484306570499,0.27332976604998327,0.20183001822405683,0.04550070715222701,3.1794316152313623e-4,408
31180,"Lubbock, TX",0.3794583994248147,0.26856493538695037,0.26856493538695037,0.26856493538695037,0.018709276106702914,4.349031031737243e-5,47
31420,"Macon, GA",0.17871397120286292,0.17871397120286292,0.12116390607053189,0.12116390607053189,0.17871397120286292,5.729264815099256e-5,63
31540,"Madison, WI",0.297453404978576,0.2822905659004809,0.2490697455918059,0.09375683289565837,0.030690984570548176,1.698314534955198e-4,192
31700,"Manchester-Nashua, NH",0.37494756243031685,0.28673044066443054,0.1726964703003179,0.12079025695806525,0.04861773899777885,9.764526213264388e-5,474
32580,"McAllen-Edinburg-Mission, TX",0.3310440983258105,0.11185133277164419,0.0412210439123024,0,0.1507225571198384,1.6688843627232967e-4,187
32780,"Medford, OR",0.3769627271637556,0.30150228139110985,0.24193888336375072,0.21893725281035945,0.07331415094929207,7.405317047699316e-5,135
32820,"Memphis, TN-MS-AR",0.27554804693728335,0.23659934466321897,0.1760433544561117,0.15096227043878213,0.06203974192317825,2.845130524608907e-4,497
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0.23278697957159925,0.14235455914672063,0.09199871817373285,0.07726980962609041,0.06951689105651532,0.0014123370019766509,1379
